date,close,change,volume,open,high,low
2019-01-03,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-04,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-07,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-08,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-09,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-10,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-14,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-15,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-16,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-17,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-21,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-23,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-24,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-28,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-29,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-01-30,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-01-31,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-01,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-12,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-13,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-14,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-15,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-20,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-21,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-02-27,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-02-28,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-01,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-04,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-05,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-06,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-07,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-08,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-12,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-13,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-14,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-15,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-20,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-21,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-27,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-03-28,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-03-29,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-01,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-02,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-03,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-04,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-05,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-08,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-09,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-10,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-11,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-12,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-16,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-17,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-23,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-24,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-04-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-04-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-02,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-03,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-06,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-07,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-08,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-09,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-10,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-13,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-14,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-15,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-16,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-17,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-20,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-21,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-22,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-23,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-24,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-27,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-28,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-29,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-05-30,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-05-31,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-03,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-04,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-05,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-06,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-07,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-10,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-12,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-13,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-14,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-17,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-20,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-21,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-24,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-06-27,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-06-28,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-01,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-02,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-03,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-04,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-05,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-08,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-09,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-10,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-12,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-15,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-16,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-17,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-23,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-24,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-29,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-07-30,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-07-31,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-01,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-02,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-05,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-06,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-07,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-08,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-09,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-12,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-13,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-14,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-15,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-16,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-19,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-20,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-21,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-22,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-23,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-26,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-27,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-28,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-08-29,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-08-30,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-03,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-04,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-05,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-06,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-09,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-10,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-11,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-12,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-13,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-16,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-17,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-18,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-19,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-20,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-23,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-24,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-25,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-26,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-09-27,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-09-30,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-01,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-02,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-03,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-04,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-07,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-08,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-09,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-10,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-11,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-14,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-15,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-16,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-17,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-18,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-21,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-22,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-23,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-24,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-25,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-28,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-29,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-10-30,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-10-31,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-01,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-04,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-05,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-06,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-07,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-08,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-11,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-12,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-13,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-14,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-15,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-18,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-19,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-20,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-21,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-22,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-25,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
2019-11-26,11.40,0.00 (0.00 %),0,11.4,11.40,11.40
2019-11-27,11.40,0.00 (0.00 %),0,11.40,11.40,11.40
