date,close,change,volume,open,high,low
2020-02-26,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-02-27,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-02-28,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-02,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-03,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-04,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-05,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-06,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-09,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-10,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-11,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-12,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-13,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-16,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-17,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-18,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-19,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-20,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-23,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-24,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-25,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-26,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-27,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-03-30,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-03-31,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-01,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-03,3.90,0.00 (0.00 %),100,3.90,3.90,3.90
2020-04-06,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-07,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-08,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-09,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-10,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-13,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-14,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-15,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-16,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-17,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-20,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-21,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-22,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-23,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-24,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-27,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-04-28,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-04-29,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-04,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-05,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-06,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-07,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-08,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-11,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-12,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-13,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-14,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-15,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-18,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-19,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-20,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-21,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-22,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-25,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-26,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-27,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-05-28,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-05-29,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-01,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-02,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-03,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-04,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-05,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-08,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-09,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-10,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-11,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-12,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-15,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-16,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-17,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-18,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-19,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-22,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-23,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-24,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-25,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-26,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-06-29,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-06-30,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-01,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-02,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-03,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-06,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-07,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-08,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-09,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-10,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-13,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-14,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
2020-07-15,3.90,0.00 (0.00 %),0,3.9,3.90,3.90
2020-07-16,3.90,0.00 (0.00 %),0,3.90,3.90,3.90
